Название песни,Музыка,Слова,Текст песни
Ракеты всегда на посту,Б.Александров,А.Годов,"Мы рядом с вами служим где-то                 
А может где-нибудь вдали                      
Там где могучие ракеты                        
Укрыты в глубине земли                        

Наш городок вы не ищите                        
На карту он не занесен                        
И в те часы, когда вы спите                   
Не спит гварде.. не спит гвардейский гарнизонРакеты, ракеты, ракеты!               
Всегда на посту!                              
Сурово ракеты, ракеты!                
Глядят в высоту!                              
Готовы ответить они на удар!                  
Готовы ответить они на удар!                  
Ракеты, ракеты на страже всегда!              
На страже всегда, всегда, всегда!             

Мы все порядок любим строгий                  
Дежурим сутки на пролёт                       
Ведя спокойно по тревоге                      
Секунд стремительный отчет                     

В учебе мы преуспеваем -                      
Ночные потомки пушкарей                       
Для нас готовность боевая                     
Всего нужней, всего нужней, всего нужнейМы рядом с вами служим где-то                 
А может где-нибудь вдали                      
Там где могучие ракеты                        
Укрыты в глубине земли                        

Хранят стальные канониры                    
Заряд разящий, громовой                       
Мы день и ночь на страже мира                 
Стоим на ва.. стоим на вахте боевойГотовы ответить они на удар!                  
Готовы ответить они на удар!                  
Ракеты, ракеты на страже всегда!"
Рано раненько,М Блантер,Сурков,"Рано-раненько до зорьки в ледоход       
Собирала я хорошего в поход.            
На кисете на добро, не на беду          
Алым шёлком шила-вышила звезду.         

Шила-вышила удалой голове               
Серп и молот алый шёлком по канве.      
И уехала кручинушка моя                 
Биться с недругом в далёкие края.       

Отгремела громом летняя страда,         
Пастухи пригнали на зиму стада.         
Только нет от дорогого моего            
Ни ответа, ни привета, ничего.          

Поздно осенью в студёном декабре        
Проскрипела подворотня на дворе.        
С фронта мне привёз товарищ наш сосед   
Шёлком шитый, кровью крашенный кисет...

Я кручину никому не покажу,             
Тёмной ночью выйду в поле на межу,      
Буду плакать, буду суженного звать,     
Буду слёзы на дорогу проливать.         

Я любви твоей вовек не изменю,          
Твой кисет, шелками шитый, сохраню,     
По весне про кудри русые твои           
Будут петь мне, одинокой, соловьи..."
Раскинулось море широко,А. Гурилев,Н.Ф. Щербина,"Раскинулось море широко,                           
И волны бушуют вдали.                              
Товарищ, мы едем далеко,                           
Подальше от нашей земли.                           

Не слышно на палубе песен,                         
И Красное Море шумит,                              
А берег и мрачен и тесен,                          
Как вспомнишь, так сердце болит.                   

На баке уж восемь пробило,                          
Товарища надо сменить.                             
По трапу едва он спустился,                        
Механик кричит: ""Шевелись!""                      

Товарищ, я вахты не в силах стоять -               
Сказал кочегар кочегару,                           
Огни в моих топках совсем не горят,                
В котлах не сдержать мне уж пару.                  

Пойди заяви ты, что я заболел                     
И вахту не кончив бросаю,                          
Весь потом истек, от жары изнемог,                 
Работать нет сил - умираю.                         

Товарищ ушел... Он лопату схватил,                   
Собравши последние силы,                           
Дверь топки привычным толчком отворил              
И пламя его озарило:                               

Лицо его, плечи, открытую грудь,                   
И пот, с них струившийся градом.                   
О, если бы мог кто туда заглянуть,                 
Назвал кочегарку бы адом!                          

Котлы паровые зловеще шумят,                       
От силы паров содрогаясь.                          
Как тысячи змей те пары же шипят,                  
Из труб кое-где прорываясь.                        

А он, изгибаясь пред жарким огнем,                 
Лопатой бросал ловко уголь.                       
Внизу было мрачно - луч солнца и днем                
Не может проникнуть в тот угол.                    

Нет ветра сегодня, нет мочи стоять,                
Согрелась вода, душно, жарко.                      
Термометр понялся аж на сорок пять,                
Без воздуха вся кочегарка.                        

Окончив кидать, он напился воды,                   
Воды опресненной, нечистой.                        
С лица его падал пот, сажи следы,                  
Услышал он речь машиниста:                         

Ты вахты не кончил - не смеешь бросать,            
Механик тобой недоволен,                           
Ты к доктору должен пойти и сказать -              
Лекарство он даст, если болен.                     

За поручни слабо хватаясь рукой                    
По трапу он вверх подымался,                       
Идти за лекарством в приемный покой                
Не мог, от жары задыхался.                         

На палубу вышел, сознанья уж нет,                  
В глазах его все помутилось,                       
Увидел на миг ослепительный свет,                  
Упал - сердце больше не билось.                    

К нему подбежали с холодной водой,                 
Стараясь привесть его в чувство.                   
Но доктор сказал, покачав головой:                 
Бессильно здесь наше искусство.                    

Всю ночь в лазарете покойный лежал,                
В костюме матроса одетый.                          
В руках восковую свечу он держал,                  
Воск таял, жарою нагретый.                         

Проститься с товарищем утром пришли                
Матросы, друзья кочегара                           
Последний подарок ему поднесли,                    
Колосник обгорелый и ржавый                        

К ногам прявязали ему колосник                     
И койкою труп обернули                             
Пришел корабельный священник-старик                
И слезы у многих блеснули...                       

Был тих, неподвижен в тот миг океан,               
Как зеркало воды блестели.                         
Явилось начальство, пришел капитан,                
И ""Вечную память"" пропели.                       

Доску приподняли дрожащей рукой,                   
И в саване тело скользнуло.                        
В пучине глубокой безвестной морской               
Навеки, плеснув, утонуло.                          

Напрасно старушка ждет сына домой,                 
Ей скажут - она зарыдает,                          
А волны бегут от винта за кормой                   
И след их вдали пропадает..."
Распахнулся простор полевой,Сигизмунд Кац,Владимира Харитонова,"За берёзовой рощей шумливой     
Распахнулся простор полевой...  
Тёплый ветер гуляет над нивой,  
Золотой, золотой, золотой...    

Песню в школе урочат девчата,   
А за песней плывут облака.      
Степь до края хлебами богата,   
Широка, широка, широка...       

В небе радуга, ярко играя,      
Обнимает поля и луга.           
Ты всегда нам, сторонка родная,
Дорога, дорога, дорога...       

Ой, хлеба вы степные, густые,   
Поднялись, свежим ветром дыша!  
До чего же сегодня Россия       
Хороша, хороша, хороша..."
Рассказ танкиста,Анатолий Лепин,Александр Твардовский,"Был трудный бой. Все нынче как спросонку.     
И только не могу себе простить:               
Из тысяч лиц узнал бы я мальчонку,            
Но как зовут, забыл его спросить...           

Лет десяти-двенадцати, бедовый,               
Из тех, что главарями у детей,                
Из тех, что в городишках прифронтовых         
Встречают нас как дорогих гостей.             

Машину обступают на стоянках,                 
Таскать им воду ведрами не труд.              
Выносят мыло с полотенцем к танку             
И сливы недозрелые суют.                      

Шел бой за улицу, огонь врага был страшен.    
Мы прорывались к площади вперед.              
А он гвоздит - не выглянуть из башен.         
И черт его поймет, откуда бьет?               

Тут угадай-ка, за каким домишком              
Он примостился: столько всяких дыр...         
И вдруг к машине подбежал парнишка:           
""Товарищ командир, товарищ командир,         

Я знаю, где их пушка, я разведал,             
Я подползал, они вон там, в саду!""           
""Да где же, где?"" - ""А дайте я поеду       
На танке с вами, прямо приведу!"".            

""Что ж, бой не ждет, влезай сюда, дружище!""
И вот мы катим к месту вчетвером.             
Стоит парнишка, мины, пули свищут,            
И только рубашонка пузырем.                   

Подъехали. ""Вот здесь"". И с разворота       
Заходим в тыл и полный газ даем,              
И эту пушку заодно с расчетом                 
Мы вмяли в рыхлый, жирный чернозем.           

Я вытер пот, душила гарь и копоть.            
От дома к дому шел большой пожар.             
И, помню, я сказал: ""Спасибо, хлопец! -      
И руку как товарищу пожал.                    

Был трудный бой. Все нынче как спросонку.     
И только не могу себе простить:               
Из тысяч лиц узнал бы я мальчонку,            
Но как зовут, забыл его спросить."
Расцвели оренбургские степи,Г. Пономаренко,В. Бурыгин,"Расцвели оренбургские степи,
Урал шепчет прохладной волной, (?)
Зазвенели колхозные песни
Веселее над нашей страной.

И куда ни посмотришь: всё краше
Расцветают родные поля;
Это земли целинные наши,
Оренбургская наша земля

Наш колхоз стал богаче, крупнее:
Все машины в колхозных руках;
Закипела работа дружнее
На лугах, на полях и в садах. (в домах?)

За счастливую жизнь трудовую
Нашей Партии славу поём
И страну прославляем родную
Нашим мирным колхозным трудом.
- - -
Повтор первого куплета"
"Расцветай, весна",Юрий Чичков,Л.Васильев,"Наполнена шумом и смехом
Весенняя, нарядная земля.
Пионерское звонкое эхо
От Камчатки летит до КремляЯрким солнцем всегда полна,
И с мечтой, и звонкой песнею дружна,
Расцветай, расцветай, весна,
Пионерская весна!

Все улицы, скверы и парки
Листвой вокруг зелёною шумят.
Очень много чудесных подарков
Есть у щедрой весны для ребятЗадорные, звонкие песни
Весёлый и зелёный мир поёт.
Пионерского племени вестник,
Красный галстук повсюду цветёт"
Рогулька,Б. Мокроусов,Б. Мокроусов,"Утром на рассвете по морю мы плыли,                                          
Вражьи самолёты катер наш бомбили.                                           

Точно я не помню, как это случилось,                                         
Только вся посуда в море погрузилась.                                        

И в воде солёной, проклиная сушу,                                            
Не умея плавать, выплыл я наружу.                                            

И не знаю, братцы, к счастью или горю,                                       
Братья, ухватился за рогульку в море.                                        

И благословляю все леса и ели                                                 
Что торчат рогульки для указки мели!                                         

Вскоре для спасенья катер подъезжает                                         
А меня с рогулькой мимо объезжает.                                           

Эй – кричу – ребята! Мне пора на сушу!                                       
Бросьте эти шутки, не губите душу!                                           

С катера такое  слово прогремело,                                            
Что в моей орбите сразу всё стемнело:                                        

«Эй ты, дура-голова, ты сидишь на мине, а не диване!                         
И дороги к тебе нет в нашем море-океане!»                                    

Братцы, братцы – говорю -                                                    
Как без рук в воде я без этой мины                                           
И в большом волненьи скрылся под водою,                                      
Пузыри пуская уткой молодою.                                                 

Кто-то из команды мне канат кидает                                           
И отборным словом всё меня ругает.                                           

С той поры, ребята, я решился смело                                          
Изучить серьёзно всё морское дело!                                           
"
Родимая земля,Леонид Афанасьев.,Игорь Шаферан,"Земля, родимая земля.                 
Ты столько горя повидала,             
Но вековая боль твоя                  
Нас никогда не покидала.              
Сынов не счесть, а ты одна.           
И встав за правду жизни новой,        
Мы влзвратить, земля, сполна,         
Мы возвратить сполна                  
Тебе свой долг готовы.                
                               
А если свой последний час             
Нам повстречать в бою смертельном,    
Земля родная, помни нас,              
И всех, и каждого отдельно.           

Росинок россыпь на полях              
В твоем названии, Россия.             
Земля, родимая земля,                 
Ты нелегко сынов растила.             
И за рассвет в твоей судьбе           
Сражаясь в этот час суровый,          
Мы возвратить, земля, тебе,           
Мы возвратить тебе                    
Сполна свой долг готовы

Земля, родимая земля,                 
Твой зов мы слышим днем и ночью.      
Ты почернела от огня,                 
Твои поля фашисты топчут.             
И смерть в бою нам не страшна,        
И нет у нас пути другого.             
Мы возвратить, земля, сполна,         
Мы возвратить сполна,                 
Тебе свой долг готовыРосинок россыпь на полях              
В твоем названии, Россия.             
Земля, родимая земля,                 
Для счастья ты сынов растила.         
За все хорошее в судьбе               
Сражаясь в этот час суровый,          
Мы возвратить, земля, тебе,           
Мы возвратить тебе                    
Сполна свой долг готовы"
Родина любимая моя,Серафим Туликов,Андрей Досталь,"Ярко горя, взметнулась в небо заря.                   
Октябрьским громом ""Авроры"" разбужен простор земли.
Ленин ведёт на бой рабочий народ,                     
По зову партии люди за правое дело шлиСлушай, страна: мечта людей зовёт!                    
Сегодня твой народ ликует и поёт!                     
Нет на земле прекраснее тебя,                         
Страна моя, любимая моя!                              

Наша страна единой волей сильна!                      
Мы русла рек изменяем! В тайге города встают!         
Полон огней простор целинных степей!                  
По зову партии люди на подвиг труда идутЗорко гляди! Отчизну нашу храни,                      
Чтоб солнце видели дети, сады зацвели весной!         
Дружной семьёй за мир мы встанем стеной!              
Пусть жизнь всегда торжествует на нашей земле родной"
Родина моя,А. Новиков,Л. Ошанин,"Под лучезарным небосводом,   
В сияньи солнца золотом,     
Как символ мира и свободы,   
Реют флаги над КремлемРодина моя!                  
Мирная, любимая,             
Нерушима и сильна,           
Родина моя!                  

Сильна ты верностью сыновьей,
Богатством сказочным полна,  
Кругом отвагой й любовью     
Ты в грозных бурях созданаТвои просторы озарила        
Мучта о счастье светлых дней,
И сердце бьется с новой силой
Под небом Родины моей"
Родина слышит,Д. Шостакович,Е.Долматовский,"Родина слышит, Родина знает,                      
Где в облаках её сын пролетает.                   
С дружеской лаской, нежной любовью                
Алыми звёздами башен московских,                  
Башен кремлёвских, смотрит она за тобою,          
Смотрит она за тобою.                             

Родина слышит, Родина знает,                      
Как нелегко её сын побеждает,                     
Но не сдаётся, правый и смелый!                   
Всею судьбою своей ты утверждаешь,                
Ты защищаешь мира великое дело,                   
Мира великое дело!                                

Родина слышит, Родина знает,                      
Что её сын на дороге встречает,                   
Как ты сквозь тучи путь пробиваешь.               
Сколько бы чёрная буря ни злилась,                
Что б ни случилось, будь непреклонным, товарищ,  
Будь непреклонным, товарищ!"
Родина суровая,Леонид Афанасьев,Владимир Фирсов,"Родина суровая и милая              
Помнит все жестокие бои.            
Вырастают рощи над могилами.        
Славят жизнь по рощам соловьи.      

Дней военных грозные мелодии,       
Радость или горькая нужда -         
Всё проходит. Остаётся Родина -     
То, что не изменит никогдаС ней живут любя, страдая, радуясь,  
Падая и поднимаясь ввысь...         
Над грозою торжествует радуга,      
А над смертью торжествует жизнь!    

Мы прошли столетия с Россиею        
От сохи до звёздного крыла,         
А взгляни: всё так же небо синее    
И над Волгой также даль светла...   

И ещё немало будет пройдено,        
В бой зовут грядущего пути.         
Но светлей и чище чувства Родины    
Людям никогда не обрести"
Родная песенка,Ю.Чичков,П.Синявский,"Льется солнышко веселое     
Золотыми ручейками          
Над садами и над селами,    
Над полями и лугамиЗдесь идут грибные дождики,
Светят радуги цветные.      
Здесь простые подорожники   
С детства — самые родные.   

Тополиные порошицы          
Закружились на опушке,      
И рассыпались по рощице     
Земляничные веснушки.       

И опять захороводили        
Стайки ласточек над домом,  
Чтобы снова спеть о Родине  
Колокольчикам знакомым."
Родной голос,Л. Лядова,В. Лазарев,"Я Россия – поле золотое,                 
Космодромы возле самых звёзд;            
Я Россия – и всегда со мною              
Удаль песен и печаль берёз.              
Смотрит речка синими глазами:            
Возле безымянного леска                  
Я стою под Тулой и Рязанью,              
В даль веков смотрю сморю из-под платкаЯ – Россия, я – Россия,                  
Ты в лицо моё вглядись,                  
Сын мой, я – Россия –                    
Ты на голос материнский отзовись!        

(доп. куплет)                            
В светлый час и в час грозы смертельной,
Знаю, слышат дети речь мою,              
Всю от первой песни колыбельной –        
И до песни праведной пою (?)             
Мальчики, рождённые на Волге,            
Навсегда в Испании лежат…                
Нет, мы не раздумывает долго –           
Только вслед берёзы шелестятПо-над Волгой стелятся туманы,           
Расцветает горькая земля…                
Сколько помнят русские курганы,          
Сколько знают русские поля!              
Только если снова справедливость         
Попадёт который раз в беду –             
Мне и в счастье не бывать счастливой,    
Если я на помощь не приду"
Родные берега,Евгений Жарковский,Наум Лабковский,"Не раз в морях и океанах         
Меня трепал и шторм, и шквал,    
И в разных странах иностранных   
Неоднократно я бывал.            
Но где б, когда бы не ступала    
Матроса русского нога,           
Поверьте мне, не забывал он      
Свои родные берегаРодные берега -                  
Кто знает, как для моряка        
Минута эта дорога,               
Когда в туманном свете маяка     
Вдали покажутся родные берега!   

Нам в Сингапуре и в Бомбее       
Сиял небес лазурный цвет,        
Но верьте мне,что голубее        
Родных небес на свете нет.       
И нет прекрасней и дороже,       
Звучней родного языка,           
И нет средь нас таких, кто может
Забыть родные берега"
Родные раздолья,Г. Адамович,В. Цветков,"За далью – даль: леса моря и горы;     
Всегда друзей найдёшь в любом краю.    

И на просторах дорогой Мещёры          
О нашей дружбе песню я пою.            

Нет, мы не прочь с тайгою породниться,
Степную ширь на тракторах пройти;      

Буранами и штормами храниться,         
От запевал не отставать в пути.        

За прочный мир, за изобилье хлеба      
В любу даль пойдём и ты и я –          

Одно над нами голубеет небо,           
Одна земля у нас с тобой своя.         

Нет, мы не прочь пройти леса и горы,   
Но станем и тогда издалека             

Петь о раздольях дорогой Мещёры        
И о тебе, красавица Ока."
Романтика,В. Голиков,А. Пьянов,"Мы молоды, и нам не надо грима;        
И наша кровь, как солнце, горяча.      
Романтика Островского и Грина,         
Как друг, идёт у нашего плеча.         

Мы не для славы строим, рубим, косим, 
Нам наплевать на длинные рубли, –      
Мы корабли уводим в звёздный космос    
И по морям мы водим корабли.           

У нас свои Каховки и Гренады:          
В тайге, на Ангаре, на целине;         
Нам столько дела переделать надо       
И мы за всё ответственны вдвойне.      

Шагаем мы, и вертится планета,         
Отскакивая гулко от подошв.            
И всюду с нами, словно эстафета,       
Горластое отцовское: «Даёшь!»"
Россия,А. Новиков,С. Алымов,"Где найдешь страну на свете         
Краше Родины моей?                  
Все края земли моей в расцвете,     
Без конца простор полейСветит солнышко на небе ясное,      
Цветут сады, шумят поля.            
Россия вольная, страна прекрасная, 
Советский край, моя земля!          

Нашей силе молодецкой               
Нету края и конца.                  
Богатырь-герой, народ советский     
Славит СТАЛИНА-отцаСветит солнышко на небе ясное,      
Цветут сады, шумят поля.            
Россия вольная, страна прекрасная, 
Советский край, моя земля!"
"Россия моя,золотые края",С.Туликов,С.Островой,"Мать - Россия моя

Мать - Россия моя,
С чем тебя мне сравнить?
Без тебя мне не петь,
Без тебя мне не житьТы, Россия моя,
Золотые края,
Ты, Россия, родная, заветная,
За твою широту,
За, твою красоту
Я люблю тебя,
Родина светлая!

Все, что в сердце моем,
Все, чем в жизни живу,
Все, что было и есть,
Я Россией зовуТы мудра и добра,
И народы земли
Славят сердце твое,
Славят думы твои"
Русская душа,В.Кручинин,Л.Ошанин,"Я из госпиталя ехал,        
Побывать зашёл к жене.      
Показал  ей первый орден,   
Что на левой стороне.       

А жена меня спросила:       
Что за подвиг совершил?     
Чем в бою  ты отличился,    
Как награду заслужил?       

Я жену покрепче обнял       
И ответил не спеша:         
У меня в груди, Анюта,      
Скрыта  русская душа.       

Я ничем не отличился,       
Ничего не совершил.         
Лишь страну  мою Россию     
Беззаветно я любил.         

А награду получил я,        
Потому что я солдат,        
И в бою  не знал пощады,    
Не сворачивал назад.        

Обо мне ты не печалься,     
Я погибнуть не могу.        
Бережёт  от смерти злоба    
К ненавистному врагу.       

А когда опять приеду,       
Кончив дело на войне,       
Поглядишь  на новый орден, 
Что на  правой стороне."
Русская земля,Никита Богословский,Владимир Луговской,"День и ночь идут бои
Но забыть нельзя 
Косы русые твои, 
Серые глаза.

И луга покосные, 
И леса морозные, 
И твои поля, 
Русская земля!

За тебя мой старый дом, 
За тебя семья
За поля, леса кругом, 
Взял винтовку я.

Замело парошами
Ждут тебя хорошую,
Все за твои поля 
Русская земля

Вспомни, вспомни обо мне
В черный час ночной
Ты лежишь в крови в огне 
Милый край родной

За тебя мой старый дом, 
За поля, леса кругом, 
Взял винтовку я,
Русская земля! 
Русская земля...


День и ночь идут бои но забыть нельзя косы русые твои, серые глаза"
Русская красавица,Владимир Захаров,Петр Казьмин,"Кто выходит рано в поле,        
Кто встречает в поле зори?      
Девушка-колхозница,             
Молодцу - бессонница!           

На груди ее коса,               
С поволокою глаза.              
Стар и млад, вся улица          
Девушкой любуетсяОх, недаром славится            
Русская красавица!              

Не она ли у дубравы             
Соревнуясь, косит травы?        
У крутого бережка               
Черноброва девушка?             

Не о ней ли по ночам            
Играют песни по садам,          
Топчут травы вешние,            
Гармонисты здешниеНе ее ли у дубравы              
Встретил нынче парень бравый,   
Встретил и сторонится:          
Экая колхозница!                

Посмотрел, промолвил: ""Ох,     
Ох, влюбиться не дай Бог"".     
А уйти не хочется.              
Смотрит - не насмотритсяНе она ль к реке подходит,      
Светлых глаз с воды не сводит,   
К речке наклоняется,            
Смотрит, удивляется:            

«Неужели это я,                 
Может, алая заря                
В небе разгорается,             
В речке отражается?»Не заря повинна в этом,         
Хороша зимой и летом            
Та, что всюду славится, -       
Девушка- красавица.             

Что же скажете тогда,           
Когда яркая звезда              
На груди появится,              
Та, что полагается"
Русские края,Павел Аедоницкий,Юрий Полухин,"Над полями дремлет голубое небо,
Льётся синь реки,
И у всех околиц пахнет свежим хлебом,
И плывут над крышами дымки...

Здесь людей хороших уважать умеют - 
В дом любой входи!
Как родного примут, угостят, согреют,
Пожелают доброго пути...

Ты, Россия, мне дала и ум и силу,
Имя мне дала.
Ты меня водою синих рек поила,
От беды в походах берегла...

Выйду в поле, снова я окину
Взглядом вольные края:
Ничего на свете мне вовек не надо -
Лишь цвела бы Родина моя!"
Русское поле,Ян Френкель,Инна Гофф,"Поле, русское поле…                       
Светит луна или падает снег -             
Счастьем и болью связан с тобою,          
Нет, не забыть тебя сердцу вовек.         
Русское поле, русское поле…               
Сколько дорог прошагать мне пришлось!     
Ты - моя юность, ты - моя воля.           
То, что сбылось, то, что в жизни сбылось!

Не сравнятся с тобой ни леса, ни моря.    
Ты со мной, моё поле, студит ветер висок.
Здесь Отчизна моя, и скажу не тая:        
""Здравствуй, русское поле,               
Я твой тонкий колосок!""                  

Поле, русское поле…                       
Пусть я давно человек городской -         
Запах полыни, вешние ливни                
Вдруг обожгут меня прежней тоской.        
Русское поле, русское поле…               
Я, как и ты, ожиданьем живу -             
Верю молчанью, как обещанью,              
Пасмурным днём вижу я синеву!             

Не сравнятся с тобой ни леса, ни моря.    
Ты со мной, моё поле, студит ветер висок.
Здесь Отчизна моя, и скажу не тая:        
""Здравствуй, русское поле,               
Я твой тонкий колосок!""                  

Поле, русское поле…"
Рыцари без страха и упрека,Э. Колмановский,К. Ваншенкин,"Время чутко движется вперед,
Реет над полями и лесами.
Вот и наступает наш черед
Доказать, чего мы стоим сами.

И шагают в грозные бои -
Прямо в бой со школьного порога
Дорогие сверстники, товарищи мои -
Рыцари без страха и упрека!
Дорогие сверстники мои -
Рыцари без страха и упрека.

Сколько нужно сердца и души,
Сколько нужно силы и отваги,
Чтоб шагать в неведомой глуши
Через лес, болота и овраги.

Зажигают новые огни
От жилья привычного далеко,
И не знают сами, и не знают, что они -
Рыцари без страха и упрека!
И не знают сами, что они -
Рыцари без страха и упрека.

Я бы много раз уже пропал, 
Если бы не яростная вера,
Если бы не их сердец запал,
Их порыв и сила их примера.

Все яснее дали на заре
И легка нелегкая дорога,
Потому что живы и сегодня на земле
Рыцари без страха и упрека!
Потому что живы на земле
Рыцари без страха и упрека!

Все яснее дали на заре
И легка нелегкая дорога,
Потому что живы и сегодня на земле
Рыцари без страха и упрека!
Потому что живы на земле
Рыцари без страха и упрека!"
Рябина,Юрий Богословский,А. Пришелец,"Эх, при дороге красная рябина,           
На ветру горит она, горит.               
Провожая любимого сына,                  
Мать родная ему говорит:                 

«Сын ненаглядный, сокол мой, соколик,    
Ты смотри и лучше примечай               
Этот куст, и дорожку, и поле —           
Сердцу близкий и милый край.             

Будешь ты в битве — вспомни эти пашни,  
Над избою тихий шум ветвей...            
За родное дерутся бесстрашней,           
За любимое бьются сильней.               

Враг вероломный мирный труд нарушил,     
Он прорвался к нашим берегам.            
Мы фашистского зверя задушим,            
Вся страна поднялась на врага!           

Вечер за рощей, зорька за горою          
Друг за другом будут догорать.           
Ты вернешься, я знаю, героем.            
Ты ведь Родину любишь, как мать!»        

Эх, полыхай ты, красная рябина,          
Не тумань, слеза, любимых глаз!          
Мать спокойна за сокола-сына —           
Он Отчизну в обиду не даст!"
